QuestionID,Field,Original,Corrected
33,Explanation,"共同募金運動は、第二次世界大戦後の混乱期に、GHQ（連合国軍最高司令官総司令部）の「六項目提案」（1949年）に基づいて始まりました。この提案は、日本の社会福祉事業の復興と発展を支援するため、民間による資金調達の必要性を強調したものでした。","共同募金運動は、第二次世界大戦後の混乱期に、GHQ（連合国軍最高司令官総司令部）の「六項目提案」（1949年）に基づいて始まりました。この提案は、日本の社会福祉事業の復興と発展を支援するため、民間による資金調達の必要性を強調したものでした。具体的には、社会福祉事業の組織化、資金調達方法の確立、広報活動の強化などが盛り込まれていました。"
34,Explanation,"「社会福祉協議会基本要項」(1962年(昭和37年))により、社会福祉協議会は在宅福祉サービス供給システムの、民間の中核として位置づけられました。","「社会福祉協議会基本要項」(1962年(昭和37年))において、社会福祉協議会は、在宅福祉サービス供給システムの民間中核としての役割を担うことが定められました。この要項は、地域福祉の推進における社会福祉協議会の重要な位置づけを示すものです。"
35,Explanation,"社会福祉法には、地域住民、社会福祉を目的とする事業を経営する者、社会福祉に関する活動を行う者は、相互に協力し、地域福祉を推進するよう努めなければならないと定められています。","社会福祉法第4条には、地域住民、社会福祉を目的とする事業を経営する者、社会福祉に関する活動を行う者は、相互に連携し、協力して地域福祉を推進するよう努めなければならないと規定されています。地域全体で支え合う共生社会の実現を目指す上で、重要な原則です。"
36,Explanation,"生活困窮者住居確保給付金は、離職等により収入が減少し、住宅の家賃を支払うことが困難になった方に対して、家賃相当額を支給する制度です。","生活困窮者住居確保給付金は、離職や廃業等によって経済的に困窮し、住居を失うおそれのある方に対し、家賃相当額を一定期間支給する制度です。病気や高齢による収入減少のみでは対象とならない場合があります。"
36,Options,"[""収入減少の理由を問わず、家賃支払いが困難な者"",""離職により収入が減少し、家賃支払いが困難な者"",""病気や怪我により収入が減少し、家賃支払いが困難な者"",""高齢者で収入が少なく、家賃支払いが困難な者"",""生活保護受給者で、家賃支払いが困難な者""]","[""収入減少の理由を問わず、家賃支払いが困難な者"",""離職、廃業等により収入が減少し、家賃支払いが困難な者"",""病気や怪我により収入が減少し、家賃支払いが困難な者"",""高齢者で収入が少なく、家賃支払いが困難な者"",""生活保護受給者で、家賃支払いが困難な者""]"
36,CorrectAnswer,"[""離職により収入が減少し、家賃支払いが困難な者""]","[""離職、廃業等により収入が減少し、家賃支払いが困難な者""]"
37,Explanation,"社会福祉法では、国及び地方公共団体は、関連施策との連携に配慮して、包括的な支援体制の整備のために必要な措置を講ずるよう努めなければならないと規定されています。","社会福祉法第106条の4において、国及び地方公共団体は、地域福祉の推進に関する施策を、相互の連携に配慮しつつ、総合的に策定し、及び実施するよう努めなければならないと規定されています。包括的な支援体制の整備は、地域共生社会の実現に向けた重要な要素です。"
38,Explanation,"民生委員は、非常勤特別職の地方公務員とみなされ、守秘義務が課せられています。給与は支給されず、任期は3年です。","民生委員は、民生委員法に基づき、厚生労働大臣から委嘱された非常勤特別職の地方公務員です。地域住民の相談に応じ、必要な支援を行う役割を担います。給与は支給されず、任期は3年です。また、全ての民生委員は児童委員を兼務します。"
39,Explanation,"成年後見制度利用促進法に基づき、国民は、成年後見制度の利用の促進に関する施策に協力することが期待されます。","成年後見制度利用促進法は、国民が成年後見制度について理解を深め、その利用を促進するための施策に協力することを期待しています。制度の周知や、身近な地域での見守り活動への参加などが含まれます。"
40,Explanation,"プラットフォームとは、住民や地域関係者、行政などがその都度集い、相談、協議し、学び合う場のことをいいます。","地域福祉におけるプラットフォームとは、地域住民、関係機関、専門職などが集まり、情報共有や連携、課題解決に向けた協議を行うための場を指します。地域共生社会の実現に向けた重要な基盤となります。"
41,Explanation,"地域における保育サービスの必要量を推計するために、幅広い住民に参加を呼び掛けて住民懇談会を行うことは有効な方法です。","住民懇談会は、地域住民の意見を広く集め、地域のニーズを把握する上で有効な手法です。保育サービスの必要量を推計するにあたり、住民の意見を直接聞くことは、実情に即した計画を立てるために重要です。"
42,Explanation,"協議体では、地域のニーズを共有化し、多様な主体との連携を図ることが重要です。地域ケア会議で出された課題の検討や、民間団体の参加呼びかけは適切な提案です。","協議体は、地域包括ケアシステムを構築するための重要な要素であり、多職種連携による地域課題の解決を目指します。地域ケア会議で挙げられた課題を協議のテーマとすること、及び、多様な主体との連携は、協議体の目的と合致する適切な提案です。"
43,Explanation,"プロセス評価は、プログラムが事前に計画された内容どおりに実施されたかを検証するものです。認知症カフェの取組が計画通りに行われているかを確認することは、プログラム評価の基本です。","プログラム評価におけるプロセス評価は、プログラムが計画されたとおりに実施されたかどうかを検証するものです。認知症カフェの実施状況、参加者の状況、スタッフの動きなどを記録・分析することで、改善点を見つけ、より効果的なプログラムへと発展させることができます。"
64,Explanation,"障害者優先調達推進法に基づき、国は障害者就労施設等からの物品やサービス調達を積極的に行う必要があります。これにより、障害者の経済的自立が促進されます。地方公共団体も同様の努力義務を負います。","障害者優先調達推進法に基づき、国及び地方公共団体は、障害者就労施設等から物品やサービスを優先的に調達するよう努める必要があります。これにより、障害者の経済的自立及び就労機会の拡大が促進されます。"
65,Explanation,"生活保護は、最低限度の生活を保障するために、個々の状況や需要に応じて不足分を補うことを原則としています。保護の基準は、厚生労働大臣が定めます。資産基準は国民一般の平均的なものではなく、最低生活を維持できる水準が基準となります。","生活保護は、憲法25条に基づく生存権を具体化したものであり、最低限度の生活を保障するために、個々の状況や需要に応じて不足分を補うことを原則としています（補足性の原理）。保護の基準は、厚生労働大臣が定めます。資産基準は国民一般の平均的なものではなく、最低生活を維持できる水準が基準となります。保護の申請は誰でも可能です。"
66,Explanation,"医師が就労可能と診断しても、直ちに保護が廃止されるわけではありません。福祉事務所は、Jさんの就労状況、収入見込み、生活状況などを総合的に評価し、保護の継続、変更、または廃止を決定します。妹からの仕送りや長男のアルバイト収入は原則として収入認定されます。就労自立給付金は要件を満たす場合に支給されます。","医師が就労可能と診断しても、直ちに保護が廃止されるわけではありません。福祉事務所は、Jさんの就労意欲、就労状況、収入見込み、生活状況などを総合的に評価し、保護の継続、変更、または廃止を決定します。妹からの仕送りや長男のアルバイト収入は原則として収入認定されます。就労自立給付金は、一定の要件を満たす場合に支給される可能性があります。生活困窮者住居確保給付金は、離職等により住居を失った場合に支給されるもので、転居費用を補助するものではありません。"
67,Explanation,"生活保護法では、急迫した状況で資力があるにも関わらず保護を受けた場合、後日、受けた保護金品に相当する金額を返還する義務が生じます。保護金品は租税や公課が課されず、原則として差し押さえも禁止されています。また、保護を受ける権利を譲渡することはできません。","生活保護法では、急迫した状況で、本来保護を必要としない程度の資力があるにも関わらず保護を受けた場合、後日、受けた保護金品に相当する金額を返還する義務が生じます。これを「不当利得の返還義務」といいます。保護金品には租税や公課が課されず、原則として差し押さえも禁止されています。また、保護を受ける権利を譲渡することはできません。被保護者は、能力に応じて勤労に励み、生活の維持・向上に努める義務があります。"
68,Explanation,"救護施設は、身体または精神に著しい障害があり、日常生活を営むことが困難な要保護者を入所させ、生活扶助を行うことを目的とします。保護施設は、救護施設、更生施設、医療保護施設、授産施設、宿所提供施設の5種類に分類されます。救護施設を経営する事業は第一種社会福祉事業です。","救護施設は、身体または精神に著しい障害があり、日常生活を営むことが困難な要保護者を入所させ、生活扶助を行うことを目的とします。保護施設は、救護施設、更生施設、医療保護施設、授産施設、宿所提供施設の5種類に分類されます。救護施設を経営する事業は第一種社会福祉事業です。特定非営利活動法人は、原則として保護施設の設置主体にはなれません。"
69,Explanation,"生活保護の申請があった場合、まずはLさんの生活状況、健康状態、経済状況などを詳細に把握し、保護の要件を満たしているか否かを判定する必要があります。同時に、保護開始後の自立支援に向けた援助計画を策定するために必要な情報収集も重要になります。扶養義務者への借金返済要請は原則として行いません。","生活保護の申請があった場合、まずはLさんの生活状況、健康状態、経済状況などを詳細に把握し、保護の要件を満たしているか否かを判定する必要があります。同時に、保護開始後の自立支援に向けた援助計画を策定するために必要な情報収集も重要になります。生活保護の申請に当たって、他の制度の利用を義務付けることはできません。扶養義務者への借金返済要請は原則として行いません。就労が困難な状況では、ハローワークへの求職活動指導は適切ではありません。"
70,Explanation,"生活保護法に基づき、保護の実施機関は、被保護者が保護を必要としなくなったと判断した場合、速やかに保護の停止または廃止を決定する義務があります。都道府県知事は一部職権を委任できます。社会福祉主事は事務を執行し、民生委員は協力機関です。急迫した状況では職権による保護開始が可能です。","生活保護法に基づき、保護の実施機関（都道府県知事または市町村長）は、被保護者が保護を必要としなくなったと判断した場合、速やかに保護の停止または廃止を決定する義務があります。都道府県知事は、その権限の一部を知事の管理に属する行政庁に委任することができます。社会福祉主事は、都道府県知事または市町村長の命を受けて、生活保護に関する事務を行います。民生委員は、生活保護法による保護を要する者を発見した場合、速やかに市町村長または福祉事務所長に通報する役割を担います。急迫した状況では、実施機関は職権により保護を開始することができます。"
71,Explanation,"生活福祉資金貸付制度は、都道府県社会福祉協議会が実施主体ですが、申請窓口は市町村社会福祉協議会となります。国は制度の企画・立案を行います。求職活動や生活保護の申請は必須要件ではありません。原則として連帯保証人は不要です。","生活福祉資金貸付制度は、都道府県社会福祉協議会が実施主体ですが、申請窓口は市町村社会福祉協議会となります。国は制度の企画・立案、資金の交付等を行います。求職活動や生活保護の申請は必須要件ではありません。原則として連帯保証人は不要です。ただし、償還能力に応じて必要となる場合があります。"
72,Explanation,"Mさんの医療費は、業務上の事由や通勤災害によるものではないため、労災保険の対象とはなりません。70歳未満の会社員であるMさんの自己負担割合は原則3割です。差額ベッド代は原則として公的医療保険の対象外です。高額療養費制度を利用しても、自己負担限度額までの支払いは必要です。Mさんは健康保険、妻は国民健康保険に加入していると考えられます。","Mさんの医療費は、業務上の事由や通勤災害によるものではないため、労災保険の対象とはなりません。70歳未満の会社員であるMさんの自己負担割合は原則3割です。差額ベッド代は原則として公的医療保険の対象外です。高額療養費制度を利用しても、自己負担限度額までの支払いは必要です。Mさんは勤務先の健康保険、妻は国民健康保険に加入していると考えられます。"
73,Explanation,"高齢になるほど医療費は高くなる傾向があります。2018年度の国民医療費は約44.3兆円であり、国民所得に対する比率は約8%です。財源は保険料が最も多く、次いで公費となっています。診療種類別では入院医療費が最も多く、薬局調剤医療費の占める割合は比較的小さいです。","高齢になるほど医療費は高くなる傾向があります。2018年度の国民医療費は約44.3兆円であり、国民所得に対する比率は約8%です。国民医療費の財源は保険料が最も多く、次いで公費となっています。診療種類別では入院医療費が最も多く、薬局調剤医療費の占める割合は比較的小さいです。問題文の正答は逆で、「75歳以上の人口一人当たり国民医療費は、人口一人当たり国民医療費よりも高い」が正しいです。"
74,Explanation,"災害拠点病院は、各都道府県に1つ以上設置され、24時間対応可能な救急体制、高度な診療機能、DMATの保有が求められます。被災地外の医療従事者は、必要に応じて被災地の医療ニーズに応じて派遣されます。","災害拠点病院は、各都道府県に1か所以上設置され、都道府県知事が指定します。24時間対応可能な救急体制、重篤救急患者に対応できる高度な診療機能、災害派遣医療チーム（DMAT）の保有が求められます。被災地外の医療従事者は、必要に応じて被災地の医療ニーズに応じて派遣されます。"
75,Explanation,"2014年の医療法改正では、地域包括ケアシステムの構築に向け、医療計画に地域医療構想の策定が位置づけられました。これにより、各地域における医療機能の分化と連携を推進することが目指されました。地域医療支援病院制度は維持され、医療圏の設定や療養病床の削減も引き続き重要な課題となっています。","2014年の医療法改正では、地域包括ケアシステムの構築に向け、医療計画に地域医療構想の策定が位置づけられました。これにより、各地域における医療機能の分化と連携を推進することが目指されました。地域医療支援病院制度は維持・強化され、医療圏の設定や療養病床の削減も引き続き重要な課題となっています。"
76,Explanation,"インフォームドコンセント（十分な説明と同意）は、患者が自身の治療方針を決定する上で不可欠です。終末期医療や小児医療においても、患者本人の意思を尊重し、可能な限り反映させることが重要となります。リビングウィルは、本人の明確な意思表示に基づいて作成されるべきものです。","インフォームドコンセント（十分な説明と同意）に基づき、患者が自身の治療方針を決定することが原則です。終末期医療や小児医療においても、患者本人の意思を尊重し、可能な限り反映させることが重要です。リビングウィルは、本人の明確な意思表示に基づいて作成されるべきであり、医師の推測に基づくものではありません。"
